,from_site,city,job_link,job_title,company_name,location,summary,salary
1,indeed,Genève,http://www.indeed.ch/rc/clk?jk=dff12b4f362c614c,Junior Frontend Developer,Open Web Technology,"Genf, GE",As a Junior Frontend Developer you will join an experienced development team with expertise in frontend technologies....,Nothing_found
2,indeed,Genève,http://www.indeed.ch/rc/clk?jk=d7db196917354d34,Web Designer / Front End Developer,Open Web Technology,"Genf, GE",Open Web Technology is looking for a Web Designer / Front End Developer with 2 or more years experience to strengthen our young and dynamic team in Geneva...,Nothing_found
3,indeed,Nyon,http://www.indeed.ch/rc/clk?jk=dff12b4f362c614c,Junior Frontend Developer,Open Web Technology,"Genf, GE",As a Junior Frontend Developer you will join an experienced development team with expertise in frontend technologies....,Nothing_found
4,indeed,Nyon,http://www.indeed.ch/rc/clk?jk=4970e2cbe869a682,Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical trading systems with sub millisecond performance...",Nothing_found
5,indeed,Nyon,http://www.indeed.ch/rc/clk?jk=d7db196917354d34,Web Designer / Front End Developer,Open Web Technology,"Genf, GE",Open Web Technology is looking for a Web Designer / Front End Developer with 2 or more years experience to strengthen our young and dynamic team in Geneva...,Nothing_found
6,indeed,Nyon,http://www.indeed.ch/rc/clk?jk=993227090efce05d,Senior Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical internal REST web services and daemons to complex...",Nothing_found
7,indeed,Gland,http://www.indeed.ch/rc/clk?jk=4970e2cbe869a682,Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical trading systems with sub millisecond performance...",Nothing_found
8,indeed,Gland,http://www.indeed.ch/rc/clk?jk=993227090efce05d,Senior Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical internal REST web services and daemons to complex...",Nothing_found
9,indeed,Gland,http://www.indeed.ch/rc/clk?jk=f4ba6291a08b2570,"Lead Backend-Developer (PHP, MySQL, Linux)",bruederlinpartner,"Saint-Sulpice, VD",Vos missionsConception et implémentation des nouvelles fonctionnalités du service Suivi et formation des autres Developers backend Migration pas à pas du...,Nothing_found
10,indeed,Rolle,http://www.indeed.ch/rc/clk?jk=3f7ab0d1d99b79ea,Junior Frontend Developer,Open Web Technology,"Lausanne, VD",As a Junior Frontend Developer you will join an experienced development team with expertise in Frontend Technologies....,Nothing_found
11,indeed,Rolle,http://www.indeed.ch/rc/clk?jk=58c01c0618a8a3dd,Web/Frontend Developer,ELCA,"Lausanne, VD",For our locations in Lausanne we are looking for a Web/Frontend Developer. Your role in our Cybersecurity Services division is to act as the interface between...,Nothing_found
12,indeed,Rolle,http://www.indeed.ch/rc/clk?jk=4970e2cbe869a682,Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical trading systems with sub millisecond performance...",Nothing_found
13,indeed,Rolle,http://www.indeed.ch/rc/clk?jk=993227090efce05d,Senior Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical internal REST web services and daemons to complex...",Nothing_found
14,indeed,Rolle,http://www.indeed.ch/rc/clk?jk=f4ba6291a08b2570,"Lead Backend-Developer (PHP, MySQL, Linux)",bruederlinpartner,"Saint-Sulpice, VD",Vos missionsConception et implémentation des nouvelles fonctionnalités du service Suivi et formation des autres Developers backend Migration pas à pas du...,Nothing_found
15,indeed,Lausanne,http://www.indeed.ch/rc/clk?jk=3f7ab0d1d99b79ea,Junior Frontend Developer,Open Web Technology,"Lausanne, VD",As a Junior Frontend Developer you will join an experienced development team with expertise in Frontend Technologies....,Nothing_found
16,indeed,Lausanne,http://www.indeed.ch/rc/clk?jk=58c01c0618a8a3dd,Web/Frontend Developer,ELCA,"Lausanne, VD",For our locations in Lausanne we are looking for a Web/Frontend Developer. Your role in our Cybersecurity Services division is to act as the interface between...,Nothing_found
17,indeed,Lausanne,http://www.indeed.ch/rc/clk?jk=f4ba6291a08b2570,"Lead Backend-Developer (PHP, MySQL, Linux)",bruederlinpartner,"Saint-Sulpice, VD",Vos missionsConception et implémentation des nouvelles fonctionnalités du service Suivi et formation des autres Developers backend Migration pas à pas du...,Nothing_found
18,indeed,Versoix,http://www.indeed.ch/rc/clk?jk=dff12b4f362c614c,Junior Frontend Developer,Open Web Technology,"Genf, GE",As a Junior Frontend Developer you will join an experienced development team with expertise in frontend technologies....,Nothing_found
19,indeed,Versoix,http://www.indeed.ch/rc/clk?jk=d7db196917354d34,Web Designer / Front End Developer,Open Web Technology,"Genf, GE",Open Web Technology is looking for a Web Designer / Front End Developer with 2 or more years experience to strengthen our young and dynamic team in Geneva...,Nothing_found
20,indeed,Versoix,http://www.indeed.ch/rc/clk?jk=4970e2cbe869a682,Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical trading systems with sub millisecond performance...",Nothing_found
21,indeed,Versoix,http://www.indeed.ch/rc/clk?jk=993227090efce05d,Senior Java Developer,Swissquote,"Gland, VD","You will have the opportunity to work on a wide variety of applications, ranging from mission-critical internal REST web services and daemons to complex...",Nothing_found
22,indeed,Carouge,http://www.indeed.ch/rc/clk?jk=dff12b4f362c614c,Junior Frontend Developer,Open Web Technology,"Genf, GE",As a Junior Frontend Developer you will join an experienced development team with expertise in frontend technologies....,Nothing_found
23,indeed,Carouge,http://www.indeed.ch/rc/clk?jk=d7db196917354d34,Web Designer / Front End Developer,Open Web Technology,"Genf, GE",Open Web Technology is looking for a Web Designer / Front End Developer with 2 or more years experience to strengthen our young and dynamic team in Geneva...,Nothing_found
